Latitude,Longitude,Address,Description
40.793496,-73.972617,2522 Broadway,"2522 Broadway<BR>Racks: 1 large, small"
40.779329,-73.983311,253 W 72nd St,253 W 72nd St<BR>Racks: 1 small
40.795647,-73.971067,2589 Broadway,"2589 Broadway<BR>Racks: 1 large, small"
40.798619,-73.96891,2681 Broadway,2681 Broadway<BR>Racks: 1 small
40.801479,-73.967854,2760 Broadway,2760 Broadway<BR>Racks: 1 small
40.718059,-73.988471,83 Essex St,83 Essex St<BR>Racks: 1 small
40.725871,-73.988689,98 East 4th Street,98 East 4th Street<BR>Racks: 1 small
40.718831,-73.975401,525 East Houston Street,525 East Houston Street<BR>Racks: 1 small
40.765098,-73.982095,1740 Broadway,1740 Broadway<BR>Racks: 1 small
40.75693,-73.986959,205 W 43rd St,205 W 43rd St<BR>Racks: 1 small
40.765266,-73.987636,798 9th Ave,798 9th Ave<BR>Racks: 1 small
40.76405,-73.990311,446 W 50th St,446 W 50th St<BR>Racks: 1 small
40.805049,-73.966042,2864 Broadway,2864 Broadway<BR>Racks: 1 small
40.762083,-73.975923,24 W 55th St,24 W 55th St<BR>Racks: 1 small
40.762213,-73.960093,1153 1st Ave,1153 1st Ave<BR>Racks: 1 small
40.75609,-73.970557,825 3rd Ave,825 3rd Ave<BR>Racks: 1 small
40.725533,-74.009164,505 Greenwich Street,505 Greenwich Street<BR>Racks: 1 small
40.750016,-73.991345,0 Penn Station,Penn Station<BR>Racks: 1 small
40.764427,-73.975348,50 W 58th St,50 W 58th St<BR>Racks: 1 small
40.766888,-73.983307,300 W 57th St,300 W 57th St<BR>Racks: 1 small
40.762901,-73.958155,430 E 65th St,430 E 65th St<BR>Racks: 1 small
40.63227,-74.021512,7128 5th Ave,7128 5th Ave<BR>Racks: 1 small
40.685449,-73.974915,67 Hanson Pl,67 Hanson Pl<BR>Racks: 1 large
40.754826,-73.975683,245 Park Ave,245 Park Ave<BR>Racks: 3 large
40.601083,-73.951742,2472 Ocean Av,2472 Ocean Av<BR>Racks: 1 small
40.689466,-73.96926,248 Dekalb Av,248 Dekalb Av<BR>Racks: 1 small
40.736671,-73.954415,85 Clay St,85 Clay St<BR>Racks: 1 small
40.677979,-73.968735,639 Vanderbilt Ave,639 Vanderbilt Ave<BR>Racks: 1 small
40.743339,-73.976868,581 2nd Ave,581 2nd Ave<BR>Racks: 1 small
40.67809,-73.97313,300 Flatbush Ave,300 Flatbush Ave<BR>Racks: 2 small
40.724182,-73.984912,57 Avenue A,57 Avenue A<BR>Racks: 1 large
40.733372,-73.99147,51 East 12th Street,51 East 12th Street<BR>Racks: 1 small
40.64557,-74.009823,4903 5th Avenue,4903 5th Avenue<BR>Racks: 1 small
40.730586,-74.006805,435 Hudson St,435 Hudson St<BR>Racks: 1 small
40.755212,-73.985178,0 42nd St - bad address,42nd St - bad address<BR>Racks: 1 small
40.638584,-73.984842,4018 14th Av,4018 14th Av<BR>Racks: 1 small
40.749743,-73.977298,338 lexington Ave,338 lexington Ave<BR>Racks: 1 small
40.638584,-73.984842,4018 14th Av,4018 14th Av<BR>Racks: 1 small
40.735444,-73.987721,37 Irving Place,37 Irving Place<BR>Racks: 1 small
40.726323,-73.94629,43 Jewel St,43 Jewel St<BR>Racks: 1 small
40.686884,-73.972593,298 Cumberland St,298 Cumberland St<BR>Racks: 1 small
40.614019,-73.944435,2884 Nostrand Av,2884 Nostrand Av<BR>Racks: 1 small
40.690953,-73.959541,262 Taaffe Pl,262 Taaffe Pl<BR>Racks: 1 small
40.755018,-73.975568,250 Park Ave,250 Park Ave<BR>Racks: 3 large
40.737366,-73.988424,225 Park Avenue South,225 Park Avenue South<BR>Racks: 1 small
40.787688,-73.943416,333 E 102nd St,333 E 102nd St<BR>Racks: 2 small
40.770571,-73.987516,4 Amsterdam Ave,"4 Amsterdam Ave<BR>Racks: 1 large, 2 small"
40.76773,-73.982267,4 Columbus Circle,4 Columbus Circle<BR>Racks: 2 small
40.733901,-73.953255,203 Green St,203 Green St<BR>Racks: 1 small
40.731477,-73.957846,180 Franklin St,180 Franklin St<BR>Racks: 2 large
40.613612,-73.963071,1800 Coney Island Av,1800 Coney Island Av<BR>Racks: 1 small
40.732893,-73.958098,181 Franklin St,181 Franklin St<BR>Racks: 1 small
40.689599,-73.972354,185 Dekalb Av,185 Dekalb Av<BR>Racks: 1 small
40.689618,-73.973273,166 Dekalb Av,166 Dekalb Av<BR>Racks: 1 small
40.73076,-73.957727,162 Franklin St,162 Franklin St<BR>Racks: 1 large
40.684492,-73.952482,164 Madison St,164 Madison St<BR>Racks: 1 small
40.7302,-73.957634,150 Franklin St,150 Franklin St<BR>Racks: 1 small
40.678212,-73.97923,141 5th Ave,141 5th Ave<BR>Racks: 1 small
40.646677,-74.019423,5423 Second Ave,5423 Second Ave<BR>Racks: 1 small
40.725045,-73.997085,598 Broadway,598 Broadway<BR>Racks: 1 small
40.788758,-73.970503,609 Columbus Ave,"609 Columbus Ave<BR>Racks: 1 large, 1 small"
40.729775,-73.957566,142 Franklin St,142 Franklin St<BR>Racks: 1 small
40.685305,-73.954287,1121 Bedford Ave,1121 Bedford Ave<BR>Racks: 1 small
40.756424,-73.979985,22 West 46th Street,22 West 46th Street<BR>Racks: 1 large
40.633942,-74.029709,7223 Ridge Blvd,7223 Ridge Blvd<BR>Racks: 1 small
40.687118,-73.975369,73 Lafayette Av,73 Lafayette Av<BR>Racks: 1 small
40.682208,-73.979813,76 4th Ave,76 4th Ave<BR>Racks: 1 small
40.774956,-73.913691,2913 23rd Ave,2913 23rd Ave<BR>Racks: 1 small
40.746409,-73.918986,4115 45th St,4115 45th St<BR>Racks: 1 small
40.745216,-73.937602,2910 Thompson Ave,2910 Thompson Ave<BR>Racks: 1 small
40.686141,-73.973988,765 Fulton St,765 Fulton St<BR>Racks: 1 small
40.745652,-74.005637,156 10th Ave,156 10th Ave<BR>Racks: 1 small
40.726247,-73.996067,636 Broadway,636 Broadway<BR>Racks: 1 small
40.791702,-73.968375,700 Columbus Ave,700 Columbus Ave<BR>Racks: 1 small
40.763132,-73.967515,773 Lexington Ave,773 Lexington Ave<BR>Racks: 1 small
40.745595,-73.9914,777 6th Ave,"777 6th Ave<BR>Racks: 2 large, small"
40.72695,-73.992957,31 Great Jones St,31 Great Jones St<BR>Racks: 1 small
40.703032,-73.994882,2 Cadman Plaza West,2 Cadman Plaza West<BR>Racks: 1 small
40.702307,-73.989627,65 Washington St,65 Washington St<BR>Racks: 1 small
40.702222,-73.989631,69 Washington St,69 Washington St<BR>Racks: 1 large
40.702181,-73.989656,70 Washington St,70 Washington St<BR>Racks: 2 large
40.702993,-73.989606,44 Washington St,44 Washington St<BR>Racks: 2 large
40.70299,-73.989584,45 Washington St,45 Washington St<BR>Racks: 1 small
40.704159,-73.986572,25 Jay St,25 Jay St<BR>Racks: 3 large
40.704176,-73.986594,26 Jay St,26 Jay St<BR>Racks: 1 small
40.704313,-73.986587,20 Jay St,20 Jay St<BR>Racks: 1 large
40.70184,-73.986739,100 Jay St,100 Jay St<BR>Racks: 1 large
40.701275,-73.986782,114 Jay St,114 Jay St<BR>Racks: 1 small
40.700759,-73.986452,0 Jay St - bad address,Jay St - bad address<BR>Racks: 2 small
40.80184,-73.9647,976 Amsterdam Ave,976 Amsterdam Ave<BR>Racks: 1 small
